benchmark	time
1	0.08
2	0.07
3	0.07
4	0.07
5	0.08
6	0.08
7	0.07
8	0.07
9	0.07
10	0.08
11	0.07
12	0.07
13	0.09
14	0.09
15	0.08
16	0.09
17	0.11
18	0.13
19	0.14
20	0.15
21	0.16
22	0.16
23	0.15
24	0.19
25	0.22
26	0.22
27	0.23
28	0.31
29	0.28
30	0.31
31	0.31
32	0.31
33	0.31
34	0.37
35	0.42
36	0.44
37	0.49
38	0.45
39	0.66
40	0.66
41	1.57
42	2.13
43	2.27
44	2.38
45	2.2
46	3.55
47	6.06
48	6.21
49	6.97
50	11.6
51	15.97
52	15.47
53	17.54
54	22.15
55	22.94
56	24.47
57	33.57
58	48.23
59	72.58
60	69.82
61	277.53
62	114.61
63	281.44
64	660.27
65	1103.09
66	1242.67
