benchmark 	time
1	0.08
2	0.08
3	0.08
4	0.08
5	0.08
6	0.08
7	0.07
8	0.08
9	0.13
10	0.13
11	0.08
12	0.08
13	0.1
14	0.1
15	0.09
16	0.1
17	0.14
18	0.14
19	0.19
20	0.17
21	0.18
22	0.17
23	0.21
24	0.15
25	0.24
26	0.25
27	0.25
28	0.31
29	0.32
30	0.35
31	0.35
32	0.35
33	0.35
34	0.42
35	0.51
36	0.48
37	0.48
38	0.51
39	0.73
40	0.71
41	1.76
42	2.32
43	2.48
44	2.65
45	1.92
46	3.94
47	6.63
48	4.88
49	7.74
50	12.94
51	17.75
52	17.29
53	19.51
54	24.18
55	25.32
56	27.1
57	22.5
58	31.75
59	46.98
60	43.7
61	128.55
62	54.43
63	312.85
64	452.86
65	547.43
66	654.25
