benchmark 	time
1	0.07
2	0.08
3	0.08
4	0.08
5	0.08
6	0.08
7	0.08
8	0.08
9	0.08
10	0.08
11	0.09
12	0.09
13	0.1
14	0.1
15	0.1
16	0.11
17	0.14
18	0.15
19	0.15
20	0.17
21	0.18
22	0.18
23	0.18
24	0.21
25	0.24
26	0.25
27	0.26
28	0.3
29	0.32
30	0.34
31	0.35
32	0.35
33	0.36
34	0.42
35	0.46
36	0.48
37	0.49
38	0.51
39	0.72
40	0.72
41	1.77
42	2.3
43	2.47
44	2.65
45	2.78
46	3.94
47	6.76
48	6.81
49	7.74
50	12.96
51	17.78
52	19.25
53	19.53
54	24.11
55	25.46
56	27.01
57	36.46
58	52.77
59	79.92
60	81.83
61	123.45
62	127.6
63	313.24
64	716.36
65	1255.39
66	1519.76
