kiki	vbs	label
900	900	u
900	900	u
900	900	u
62.2491	58.803	s
900	900	s
0.521522	0.670501	s
900	900	s
900	900	u
0.257736	0.108181	s
2.291	1.263	u
0.159294	0.110956	s
0.17936	0.131424	s
900	900	u
900	900	s
0.132932	0.1042	u
900	900	s
900	900	u
0.21195	0.142261	s
900	900	s
900	900	u
0.152585	0.120641	u
0.21207	0.126513	s
0.147554	0.193177	s
900	900	u
0.116691	0.103521	u
0.111385	0.103177	u
900	900	u
900	900	s
0.128927	0.132668	s
900	900	s
0.133092	0.117498	s
0.416345	0.122484	u
0.394863	0.121852	u
0.4608	0.141456	s
0.147728	0.121503	s
2.74842	900	s
2.56457	2.48276	s
900	900	s
900	900	s
900	900	s
900	900	s
0.277608	0.384184	s
0.133645	0.129266	u
0.391549	0.150833	s
900	900	s
900	900	s
900	900	s
900	900	s
0.158022	0.192597	s
900	900	s
900	900	s
0.401837	0.715392	s
0.123408	0.169425	s
900	900	s
900	900	s
900	900	s
0.608788	0.149823	s
900	900	s
2.45933	0.297144	s
0.672408	0.16924	s
900	900	s
0.128697	0.143988	u
0.320219	0.113953	s
900	900	s
18.17	17.1005	s
900	900	s
900	900	s
900	900	s
900	900	s
0.571767	0.220453	s
0.283279	0.123913	s
0.375278	0.12239	s
900	900	s
900	900	s
900	900	s
900	900	s
900	900	s
900	900	s
0.244856	0.151506	u
0.229416	0.129568	s
0.754223	0.617343	u
0.188838	0.109865	s
0.163999	0.10414	u
900	900	s
2.86032	0.505843	u
50.2146	19.0185	s
8.8484	0.514957	s
0.352506	0.113115	u
0.126764	0.123404	s
0.1264	0.104016	s
534.998	176.487	u
900	900	s
1.87804	0.383301	u
2.2664	0.201167	s
0.421075	0.161646	s
0.222742	0.153851	u
720.278	709.089	s
900	900	u
67.4218	143.078	u
0.300936	0.166506	s
900	900	s
900	900	u
0.559691	0.20703	s
0.144122	0.137345	u
1.89928	0.588078	u
0.249168	0.196555	s
900	900	u
6.1771	0.267393	u
0.1504	0.124713	s
0.611815	0.382259	u
900	900	s
1.7869	0.177577	u
0.49454	0.143547	u
2.648	0.234857	u
900	900	s
0.931	0.21308	u
900	900	s
1.04811	0.154401	u
1.26719	0.166611	s
0.138768	0.10504	u
0.204915	0.114864	u
0.132829	0.115912	s
0.132859	0.113414	u
0.124142	0.115134	s
0.148176	0.125101	u
16.668	3.51621	s
0.26641	0.11286	u
0.135835	0.127724	s
0.130198	0.116672	u
0.132754	0.115427	s
0.128747	0.118599	s
0.162411	0.118197	s
0.123063	0.127667	s
0.142445	0.117264	s
0.167077	0.140299	u
1.15724	0.209052	u
4.093	0.37524	u
72.01	1.77989	u
13.441	0.647234	s
0.149818	0.113559	s
0.128022	0.112919	s
0.135399	0.111834	s
0.138022	0.112625	u
