SAT ACDCL label
9 5 u
7 6 s
2475 7 s
403 16 u
2475 4 s
11563 9 s
73 3 u
1 1 s
73 3 u
73 3 u
2 2 s
3 3 s
7 4 s
28529 21 s
9 9 s
393 28 s
141 51 u
289 331 u
56 33 s
97 46 s
5384 39 u
73 13 u
265 16 u
7 11 s
169 16 u
9 11 s
73 13 u
6 9 s
25 16 u
7 11 s
291 4 u
1 4 s
291 4 u
2 15 s
73 3 u
73 13 u
108 371 u
409 494 u
41 55 u
23 67 s
25320 125 s
491 1 u
161 10 s
176 167 u
9 8 u
132 12 s
135 10 s
4 3 s
25 10 s
4 60 s
73 74 u
356 207 s
2747 39 s
8644 20 s
27480 127 s
23928 96 s
103 90 s
80219 30 s
80219 56 s
2 6 s
12 13 s
33 39 s
83 132 s
19 32 s
84 1 s
269 2 u
